"name","en","ko","ja",
"Ella","Powerful, creative, and determined. People named Ella have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Ella 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Ellaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Ellie","Dynamic, visionary, and versatile. People named Ellie fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Ellie 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Ellieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Emily","Intuitive, broadminded, and generous. People named Emily have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Emily 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Emilyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Emma","Courageous, adventurous, and loving. People named Emma are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Emma 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Emmaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Eva","Smart, ambitious, and trustworthy. People named Eva have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Eva 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Evaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Evelyn","Powerful, creative, and determined. People named Evelyn have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Evelyn 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Evelynと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Fiona","Smart, ambitious, and trustworthy. People named Fiona have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Fiona 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Fionaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Georgia","Intuitive, broadminded, and generous. People named Georgia have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Georgia 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Georgiaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Gloria","Dynamic, visionary, and versatile. People named Gloria fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Gloria 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Gloriaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Grace","Powerful, creative, and determined. People named Grace have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Grace 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Graceと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Hannah","Courageous, adventurous, and loving. People named Hannah are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Hannah 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Hannahと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Harper","Courageous, adventurous, and loving. People named Harper are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Harper 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Harperと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Hazel","Courageous, adventurous, and loving. People named Hazel are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Hazel 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Hazelと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Isabella","Dynamic, visionary, and versatile. People named Isabella fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Isabella 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Isabellaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Isabelle","Powerful, creative, and determined. People named Isabelle have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Isabelle 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Isabelleと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Ivy","Courageous, adventurous, and loving. People named Ivy are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Ivy 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Ivyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Jennie","Courageous, adventurous, and loving. People named Jennie are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Jennie 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Jennieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Jenny","Dynamic, visionary, and versatile. People named Jenny fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Jenny 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Jennyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Kate","Powerful, creative, and determined. People named Kate have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Kate 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Kateと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Katelyn","Powerful, creative, and determined. People named Katelyn have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Katelyn 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Katelynと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Katie","Smart, ambitious, and trustworthy. People named Katie have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Katie 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Katieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Kaylie","Intuitive, broadminded, and generous. People named Kaylie have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Kaylie 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Kaylieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Kylie","Powerful, creative, and determined. People named Kylie have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Kylie 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Kylieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Layla","Powerful, creative, and determined. People named Layla have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Layla 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Laylaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Lily","Powerful, creative, and determined. People named Lily have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Lily 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Lilyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Lisa","Dynamic, visionary, and versatile. People named Lisa fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Lisa 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Lisaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Lucy","Smart, ambitious, and trustworthy. People named Lucy have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Lucy 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Lucyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Mia","Dynamic, visionary, and versatile. People named Mia fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Mia 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Miaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Mila","Intuitive, broadminded, and generous. People named Mila have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Mila 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Milaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Olivia","Courageous, adventurous, and loving. People named Olivia are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Olivia 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Oliviaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Sarah","Intuitive, broadminded, and generous. People named Sarah have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Sarah 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Sarahと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Scarlett","Courageous, adventurous, and loving. People named Scarlett are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Scarlett 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Scarlettと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Selena","Intuitive, broadminded, and generous. People named Selena have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Selena 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Selenaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Sienna","Smart, ambitious, and trustworthy. People named Sienna have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Sienna 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Siennaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Sofia","Intuitive, broadminded, and generous. People named Sofia have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Sofia 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Sofiaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Sophia","Powerful, creative, and determined. People named Sophia have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Sophia 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Sophiaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Sophie","Powerful, creative, and determined. People named Sophie have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Sophie 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Sophieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Teresa","Intuitive, broadminded, and generous. People named Teresa have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Teresa 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Teresaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Tessa","Courageous, adventurous, and loving. People named Tessa are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Tessa 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Tessaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Zoe","Smart, ambitious, and trustworthy. People named Zoe have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Zoe 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Zoeと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
