"name","en","Column1","ja",
"Charlie","Dynamic, visionary, and versatile. People named Charlie fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Charlie 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Charlieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Chase","Courageous, adventurous, and loving. People named Chase are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Chase 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Chaseと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Connor","Intuitive, broadminded, and generous. People named Connor have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Connor 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Connorと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Daniel","Dynamic, visionary, and versatile. People named Daniel fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Daniel 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Danielと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"David","Intuitive, broadminded, and generous. People named David have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","David 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Davidと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Eddie","Dynamic, visionary, and versatile. People named Eddie fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Eddie 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Eddieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Elliot","Dynamic, visionary, and versatile. People named Elliot fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Elliot 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Elliotと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Ethan","Courageous, adventurous, and loving. People named Ethan are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Ethan 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Ethanと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Finn","Dynamic, visionary, and versatile. People named Finn fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Finn 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Finnと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Harry","Intuitive, broadminded, and generous. People named Harry have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Harry 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Harryと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Harvey","Powerful, creative, and determined. People named Harvey have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Harvey 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Harveyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Hayden","Courageous, adventurous, and loving. People named Hayden are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Hayden 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Haydenと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Henry","Courageous, adventurous, and loving. People named Henry are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Henry 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Henryと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Hugo","Intuitive, broadminded, and generous. People named Hugo have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Hugo 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Hugoと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Hunter","Dynamic, visionary, and versatile. People named Hunter fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Hunter 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Hunterと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Jacob","Dynamic, visionary, and versatile. People named Jacob fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Jacob 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Jacobと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Jake","Smart, ambitious, and trustworthy. People named Jake have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Jake 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Jakeと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"James","Smart, ambitious, and trustworthy. People named James have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","James 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Jamesと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Jay","Courageous, adventurous, and loving. People named Jay are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Jay 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Jayと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Jayce","Dynamic, visionary, and versatile. People named Jayce fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Jayce 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Jayceと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Jayden","Intuitive, broadminded, and generous. People named Jayden have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Jayden 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Jaydenと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"John","Dynamic, visionary, and versatile. People named John fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","John 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Johnと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Jordan","Courageous, adventurous, and loving. People named Jordan are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Jordan 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Jordanと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Josh","Intuitive, broadminded, and generous. People named Josh have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Josh 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Joshと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Justin","Smart, ambitious, and trustworthy. People named Justin have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Justin 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Justinと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Leo","Intuitive, broadminded, and generous. People named Leo have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Leo 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Leoと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Levi","Intuitive, broadminded, and generous. People named Levi have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Levi 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Leviと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Lewis","Powerful, creative, and determined. People named Lewis have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Lewis 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Lewisと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Liam","Courageous, adventurous, and loving. People named Liam are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Liam 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Liamと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Logan","Courageous, adventurous, and loving. People named Logan are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Logan 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Loganと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Luca","Dynamic, visionary, and versatile. People named Luca fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Luca 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Lucaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Lucas","Powerful, creative, and determined. People named Lucas have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Lucas 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Lucasと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Luke","Dynamic, visionary, and versatile. People named Luke fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Luke 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Lukeと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Mark","Powerful, creative, and determined. People named Mark have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Mark 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Markと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Max","Smart, ambitious, and trustworthy. People named Max have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Max 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Maxと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Mike","Powerful, creative, and determined. People named Mike have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Mike 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Mikeと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Nathan","Courageous, adventurous, and loving. People named Nathan are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Nathan 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Nathanと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Oliver","Smart, ambitious, and trustworthy. People named Oliver have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Oliver 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Oliverと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Ollie","Smart, ambitious, and trustworthy. People named Ollie have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Ollie 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Ollieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Oscar","Smart, ambitious, and trustworthy. People named Oscar have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Oscar 이라는 사람들은 마음이 넓고 직관적이며, 관대한 성격을 가지고 있습니다. 심리적으로 안정을 추구하며, 자신이 속해 있는 세상을 이해하고 분석하려는 성향이 있습니다.","強力で、創造的で、決定された Oscarと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Owen","Courageous, adventurous, and loving. People named Owen are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Owen 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Owenと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Riley","Courageous, adventurous, and loving. People named Riley are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Riley 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Rileyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Roman","Smart, ambitious, and trustworthy. People named Roman have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Roman 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Romanと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Ryan","Dynamic, visionary, and versatile. People named Ryan fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Ryan 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Ryanと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
